group,task,acc,auc,f1,brier,logloss
AR_Only,dir,0.6718146718146718,0.7794730474526146,0.4444444444444444,0.19015774130821228,0.5195753877716583
Financial_Only,dir,0.667953667953668,0.6299233767979567,0.37681159420289856,0.21290209889411926,0.6179401093926117
News_Pure,dir,0.6216216216216216,0.5666756284446833,0.234375,0.25823429226875305,0.7503151830418385
AR+News,dir,0.7181467181467182,0.8200026885334051,0.535031847133758,0.1730053871870041,0.4841447981217753
Full,dir,0.7413127413127413,0.8315633821750235,0.6699507389162561,0.18215306103229523,0.5836600142250367
